budget_subfunction_code,budget_subfunction_title
352,Agricultural research and services
402,Air transportation
452,Area and regional development
053,Atomic energy defense activities
803,Central fiscal operations
805,Central personnel management
451,Community development
153,Conduct of foreign affairs
302,Conservation and land management
554,Consumer and occupational health and safety
754,Criminal justice assistance
809,Deductions for offsetting receipts
054,Defense-related activities
051,Department of Defense-Military
373,Deposit insurance
453,Disaster relief and insurance
501,"Elementary, secondary, and vocational education"
274,Emergency energy preparedness
272,Energy conservation
276,"Energy information, policy, and regulation"
271,Energy supply
802,Executive direction and management
351,Farm income stabilization
753,Federal correctional activities
602,Federal employee retirement and disability
751,Federal law enforcement activities
752,Federal litigative and judicial activities
605,Food and nutrition assistance
154,Foreign information and exchange activities
804,General property and records management
806,General purpose fiscal assistance
601,General retirement and disability insurance (excluding social se
251,General science and basic research
000,Governmental Receipts
401,Ground transportation
551,Health care services
552,Health research and training
502,Higher education
703,Hospital and medical care for veterans
604,Housing assistance
701,Income security for veterans
901,Interest on Treasury debt securities (gross)
151,International development and humanitarian assistance
155,International financial programs
152,International security assistance
801,Legislative functions
571,Medicare
371,Mortgage credit
999,Multiple functions
050,National Defense
376,Other advancement of commerce
808,Other general government
609,Other income security
908,Other interest
505,Other labor services
306,Other natural resources
407,Other transportation
705,Other veterans benefits and services
304,Pollution control and abatement
372,Postal service
303,Recreational resources
503,Research and general education aids
651,Social security
506,Social services
252,"Space flight, research, and supporting activities"
504,Training and employment
400,Transportation
603,Unemployment compensation
702,"Veterans education, training, and rehabilitation"
704,Veterans housing
301,Water resources
403,Water transportation
