code,name
247,400 Years of African-American History Commission
310,Access Board
302,Administrative Conference of the U.S.
306,Advisory Council on Historic Preservation
166,African Development Foundation
072,Agency for International Development
074,American Battle Monuments Commission
309,Appalachian Regional Commission
084,Armed Forces Retirement Home
313,Barry Goldwater Scholarship and Excellence In Education Foundation
321,Commission for the Preservation of America's Heritage Abroad
323,Commission of Fine Arts
326,Commission on Civil Rights
338,Committee for Purchase from People Who Are Blind or Severely Disabled
339,Commodity Futures Trading Commission
581,Consumer Financial Protection Bureau
061,Consumer Product Safety Commission
485,Corporation for National and Community Service
096,Corps of Engineers - Civil Works
542,Council of the Inspectors General on Integrity and Efficiency
9553,Court Services and Offender Supervision Agency
347,Defense Nuclear Facilities Safety Board
517,Delta Regional Authority
513,Denali Commission
012,Department of Agriculture
013,Department of Commerce
097,Department of Defense
091,Department of Education
089,Department of Energy
075,Department of Health and Human Services
070,Department of Homeland Security
086,Department of Housing and Urban Development
015,Department of Justice
1601,Department of Labor
019,Department of State
069,Department of Transportation
036,Department of Veterans Affairs
014,Department of the Interior
020,Department of the Treasury
349,District of Columbia Courts
525,Election Assistance Commission
068,Environmental Protection Agency
045,Equal Employment Opportunity Commission
1100,Executive Office of the President
083,Export-Import Bank of the United States
7802,Farm Credit System Insurance Corporation
027,Federal Communications Commission
051,Federal Deposit Insurance Corporation
360,Federal Election Commission
362,Federal Financial Institutions Examination Council
054,Federal Labor Relations Authority
065,Federal Maritime Commission
093,Federal Mediation and Conciliation Service
368,Federal Mine Safety and Health Review Commission
473,Federal Permitting Improvement Steering Council
029,Federal Trade Commission
047,General Services Administration
005,Government Accountability Office
471,Gulf Coast Ecosystem Restoration Council
372,Harry S Truman Scholarship Foundation
474,Institute of Museum and Library Services
164,Inter-American Foundation
034,International Trade Commission
381,James Madison Memorial Fellowship Foundation
382,Japan-United States Friendship Commission
3301,John F. Kennedy Center for the Performing Arts
387,Marine Mammal Commission
389,Merit Systems Protection Board
524,Millennium Challenge Corporation
487,Morris K. Udall and Stewart L. Udall Foundation
080,National Aeronautics and Space Administration
088,National Archives and Records Administration
394,National Capital Planning Commission
413,National Council on Disability
025,National Credit Union Administration
417,National Endowment for the Arts
418,National Endowment for the Humanities
420,National Labor Relations Board
421,National Mediation Board
049,National Science Foundation
424,National Transportation Safety Board
573,Northern Border Regional Commission
031,Nuclear Regulatory Commission
431,Nuclear Waste Technical Review Board
432,Occupational Safety and Health Review Commission
434,Office of Government Ethics
435,Office of Navajo and Hopi Indian Relocation
024,Office of Personnel Management
062,Office of Special Counsel
071,Overseas Private Investment Corporation
579,Patient-Centered Outcomes Research Trust Fund
1125,Peace Corps
1602,Pension Benefit Guaranty Corporation
512,Presidio Trust
535,Privacy and Civil Liberties Oversight Board
290,Public Buildings Reform Board
060,Railroad Retirement Board
050,Securities and Exchange Commission
090,Selective Service System
073,Small Business Administration
028,Social Security Administration
574,Southeast Crescent Regional Commission
472,Surface Transportation Board
514,U.S. Agency for Global Media
376,U.S. Interagency Council on Homelessness
077,U.S. International Development Finance Corporation
510,United States Chemical Safety Board
345,United States Court of Appeals for Veterans Claims
1133,United States Trade and Development Agency
519,Vietnam Education Foundation
